Name,Anzahl,Aussaat,pikiert,ID,wie?,wo?,🥕 Sorten
24,77,25. Februar 2025,,22,Anzucht,Quickpot 77,Saragossa (https://www.notion.so/Saragossa-1824cafc0cfe80b7b8a7d784f78ad47f?pvs=21)
17,40,25. Februar 2025,19. März 2025,25,Anzucht,Anzuchtschale,Antar F1 (https://www.notion.so/Antar-F1-1834cafc0cfe8094bd5ef54fa4491e3c?pvs=21)
30,18,3. März 2025,24. März 2025,27,Anzucht,Anzuchtschale,Paradeisfrüchtig Frührot (https://www.notion.so/Paradeisfr-chtig-Fr-hrot-1a04cafc0cfe80e2b314d1d5f73a5431?pvs=21)
26,16,3. März 2025,21. März 2025,28,Anzucht,Anzuchtschale,Pimento Padron (https://www.notion.so/Pimento-Padron-17c4cafc0cfe8070861adb5a8d0ea436?pvs=21)
25,77,25. Februar 2025,,21,Anzucht,Quickpot 77,Lollo Rossa (https://www.notion.so/Lollo-Rossa-1784cafc0cfe805f92b6e3d422aad41d?pvs=21)
32,9,3. März 2025,24. März 2025,26,Anzucht,Anzuchtschale,Bellarubin (https://www.notion.so/Bellarubin-17b4cafc0cfe80a38a81cf622bcca9a4?pvs=21)
19,8,25. Februar 2025,20. März 2025,20,Anzucht,Anzuchtschale,Bendigo F1 (https://www.notion.so/Bendigo-F1-17c4cafc0cfe8023ab61e99a799037bf?pvs=21)
34,77,7. März 2025,,33,Anzucht,Quickpot 77,Lollo Rossa (https://www.notion.so/Lollo-Rossa-1784cafc0cfe805f92b6e3d422aad41d?pvs=21)
38,77,7. März 2025,,34,Anzucht,Quickpot 77,Till (https://www.notion.so/Till-1824cafc0cfe80559506e60cfee8f0ea?pvs=21)
28,18,3. März 2025,24. März 2025,32,Anzucht,Anzuchtschale,Cuore de Bue (https://www.notion.so/Cuore-de-Bue-17b4cafc0cfe801191bafea6d560bdf5?pvs=21)
33,77,7. März 2025,,37,Anzucht,Quickpot 77,Lucinde (https://www.notion.so/Lucinde-1784cafc0cfe801ab06ef5fce1239be5?pvs=21)
31,9,3. März 2025,24. März 2025,31,Anzucht,Anzuchtschale,Hamlet F1 (https://www.notion.so/Hamlet-F1-17b4cafc0cfe80f59a5fee5a85b3560f?pvs=21)
35,77,7. März 2025,,36,Anzucht,Quickpot 77,Lollo Bionda (https://www.notion.so/Lollo-Bionda-1824cafc0cfe80358aa7d83b7f493ad2?pvs=21)
36,77,7. März 2025,,35,Anzucht,Quickpot 77,Azur Star (https://www.notion.so/Azur-Star-1834cafc0cfe8033bc2dd69b5a365306?pvs=21)
27,18,3. März 2025,23. März 2025,30,Anzucht,Anzuchtschale,Cocktail (https://www.notion.so/Cocktail-17b4cafc0cfe80ed8089de0bc9bd0401?pvs=21)
29,18,3. März 2025,24. März 2025,29,Anzucht,Anzuchtschale,Roma (https://www.notion.so/Roma-17b4cafc0cfe807381c3daa5ad6c19a8?pvs=21)
43,9,10. März 2025,28. März 2025,44,Anzucht,Anzuchtschale,Shakira F1 (https://www.notion.so/Shakira-F1-17c4cafc0cfe80458197f11359f60d09?pvs=21)
42,7,10. März 2025,28. März 2025,43,Anzucht,Anzuchtschale,Previa F1 (https://www.notion.so/Previa-F1-17b4cafc0cfe80b7819fff42e47e58b3?pvs=21)
44,10,10. März 2025,28. März 2025,39,Anzucht,Anzuchtschale,Elisa F1 (https://www.notion.so/Elisa-F1-17d4cafc0cfe80f2b0e2c823558116f0?pvs=21)
40,21,10. März 2025,28. März 2025,40,Anzucht,Anzuchtschale,Hamlet F1 (https://www.notion.so/Hamlet-F1-17b4cafc0cfe80f59a5fee5a85b3560f?pvs=21)
41,10,10. März 2025,28. März 2025,42,Anzucht,Anzuchtschale,Country Taste F1 (https://www.notion.so/Country-Taste-F1-17b4cafc0cfe8071bf6cd60627c70e68?pvs=21)
45,77,17. März 2025,,45,Anzucht,Quickpot 77,Lollo Rossa (https://www.notion.so/Lollo-Rossa-1784cafc0cfe805f92b6e3d422aad41d?pvs=21)
39,22,10. März 2025,28. März 2025,41,Anzucht,Anzuchtschale,Sparta F1 (https://www.notion.so/Sparta-F1-17b4cafc0cfe802d8955f8f6ee02b02c?pvs=21)
37,77,7. März 2025,,38,Anzucht,Quickpot 77,Enrico (https://www.notion.so/Enrico-1834cafc0cfe80aba1eccc20d3a6d4ab?pvs=21)
46,77,17. März 2025,,46,Anzucht,Quickpot 77,Krischan (https://www.notion.so/Krischan-1824cafc0cfe803eb2cddc36985a57ea?pvs=21)
50,8,18. März 2025,1. April 2025,51,Anzucht,Anzuchtschale,Trixi (https://www.notion.so/Trixi-17b4cafc0cfe80059995e8bd0a31e484?pvs=21)
49,8,18. März 2025,1. April 2025,52,Anzucht,Anzuchtschale,Bellarubin (https://www.notion.so/Bellarubin-17b4cafc0cfe80a38a81cf622bcca9a4?pvs=21)
54,,22. März 2025,,54,Freiland,,Sora (https://www.notion.so/Sora-17a4cafc0cfe80aead1ed507a27b5d03?pvs=21)
52,16,18. März 2025,1. April 2025,48,Anzucht,Anzuchtschale,Cocktail (https://www.notion.so/Cocktail-17b4cafc0cfe80ed8089de0bc9bd0401?pvs=21)
48,8,18. März 2025,1. April 2025,49,Anzucht,Anzuchtschale,Marmorossa (https://www.notion.so/Marmorossa-17b4cafc0cfe809a9ed9ed5e25169350?pvs=21)
55,,22. März 2025,,55,Freiland,,Nantaise 2/Topfix (https://www.notion.so/Nantaise-2-Topfix-1bf4cafc0cfe80709622f6442964ec83?pvs=21)
57,,23. März 2025,,56,Freiland,,Asap (MOG-SG-104) (https://www.notion.so/Asap-MOG-SG-104-17d4cafc0cfe80878395d4d0440c5952?pvs=21)
53,18,18. März 2025,1. April 2025,53,Anzucht,Anzuchtschale,Cuore de Bue (https://www.notion.so/Cuore-de-Bue-17b4cafc0cfe801191bafea6d560bdf5?pvs=21)
51,8,18. März 2025,1. April 2025,50,Anzucht,Anzuchtschale,Heart of Gold (https://www.notion.so/Heart-of-Gold-17b4cafc0cfe808b8286ea770b5f4648?pvs=21)
47,8,18. März 2025,1. April 2025,47,Anzucht,Anzuchtschale,Supersweet 100 (https://www.notion.so/Supersweet-100-1854cafc0cfe8017b18ed288f5c4f95f?pvs=21)
64,77,28. März 2025,,61,Anzucht,Quickpot 77,Jannis (https://www.notion.so/Jannis-1794cafc0cfe80698f45c583f7cac442?pvs=21)
61,77,28. März 2025,,60,Anzucht,Quickpot 77,Briweri (https://www.notion.so/Briweri-17d4cafc0cfe804ca50acce6a5e18321?pvs=21)
65,77,1. April 2025,,65,Anzucht,Quickpot 77,Berns (https://www.notion.so/Berns-1844cafc0cfe80e7a0cad28431f9ce56?pvs=21)
56,77,23. März 2025,,57,Anzucht,Quickpot 77,President (https://www.notion.so/President-1bf4cafc0cfe809aa4b9e28bb66bf3e0?pvs=21)
60,77,28. März 2025,,63,Anzucht,Quickpot 77,Rubinette (https://www.notion.so/Rubinette-1824cafc0cfe80e982edd6d3a716face?pvs=21)
59,77,28. März 2025,,62,Anzucht,Quickpot 77,Saragossa (https://www.notion.so/Saragossa-1824cafc0cfe80b7b8a7d784f78ad47f?pvs=21)
68,77,1. April 2025,,67,Anzucht,Quickpot 77,Dottenfelder Dauer (https://www.notion.so/Dottenfelder-Dauer-1844cafc0cfe8090bee8dc7213079da2?pvs=21)
58,,23. März 2025,,58,Freiland,,Matador (https://www.notion.so/Matador-1bf4cafc0cfe80a9a870e5ab76fb923c?pvs=21)
